Age,Average,StDv,P3,P10,P25,P50,P75,P90,P97
0,49.84,1.55,46.88,47.84,48.8,49.87,50.92,51.87,52.79
91.25,61.08,3,56.61,57.78,58.96,60.26,61.56,62.71,63.85
182.5,67.37,2.41,63.12,64.44,65.77,67.24,68.71,70.02,71.32
273.75,72.09,2.67,67.66,69.09,70.53,72.14,73.74,75.18,76.59
365,75.38,2.85,71.16,72.68,74.22,75.93,77.64,79.18,80.7
456.25,79.36,3.24,74.23,75.83,77.45,79.25,81.06,82.69,84.31
547.5,82.35,2.97,77.17,78.83,80.53,82.42,84.31,86.02,87.72
638.75,85.28,3.06,79.94,81.67,83.43,85.4,87.37,89.15,90.91
730,88.03,3.28,82.21,83.95,85.71,87.69,89.69,91.49,93.33
913.125,91.83,2.86,86.19,88.07,90,92.15,94.32,96.29,98.25
1095.75,96.34,3.08,89.98,92.03,94.12,96.46,98.82,100.96,103.08
1278.375,99.35,4.4,93.59,95.77,98,100.49,103.01,105.3,107.57
1461,105.29,4.39,97.01,99.3,101.65,104.28,106.94,109.36,111.77
1643.625,107.47,3.99,100.23,102.63,105.08,107.84,110.64,113.18,115.71
1826.25,110.86,4.24,103.27,105.77,108.33,111.21,114.13,116.79,119.45
2008.875,114.75,4.62,106.14,108.74,111.41,114.41,117.46,120.24,123.01
2191.5,117.05,4.88,108.85,111.56,114.34,117.47,120.64,123.54,126.44
2374.125,120.34,5.05,111.43,114.25,117.15,120.41,123.72,126.74,129.77
2556.75,124.01,4.88,113.91,116.84,119.86,123.26,126.71,129.87,133.02
2739.375,126.57,5.55,116.29,119.36,122.5,126.05,129.65,132.93,136.22
2922,128.54,6.31,118.62,121.82,125.1,128.8,132.55,135.97,139.38
3104.625,132.09,5.61,120.92,124.25,127.68,131.53,135.43,138.98,142.53
3287.25,133.98,6.09,123.2,126.68,130.25,134.26,138.31,142,145.68
3469.875,138.77,5.94,125.51,129.13,132.84,137,141.2,145.03,148.84
3652.5,140.05,6.58,127.84,131.61,135.46,139.77,144.12,148.07,152
3835.125,142.07,6.29,130.23,134.14,138.12,142.58,147.07,151.13,155.17
4017.75,144.17,6.17,132.69,136.73,140.84,145.43,150.04,154.21,158.35
4200.375,147.49,6.48,135.23,139.38,143.61,148.31,153.04,157.3,161.52
4383,150.1,6.9,137.84,142.1,146.42,151.24,156.05,160.39,164.68
4565.625,153.95,7.42,140.52,144.88,149.29,154.18,159.07,163.47,167.8
4748.25,156.87,9.12,143.27,147.7,152.17,157.13,162.07,166.5,170.87
4930.875,160.97,8.23,146.06,150.54,155.06,160.06,165.03,169.48,173.85
5113.5,164.13,8.22,148.86,153.38,157.92,162.93,167.91,172.36,176.72
5296.125,165.04,8.41,151.64,156.17,160.72,165.72,170.68,175.1,179.44
5478.75,168.79,8.31,154.35,158.87,163.4,168.37,173.29,177.67,181.96
5661.375,170.94,6.92,156.92,161.41,165.91,170.83,175.7,180.02,184.24
5844,172.98,6.64,159.28,163.73,168.17,173.04,177.83,182.08,186.23
6026.625,175.32,6.54,161.34,165.74,170.12,174.91,179.62,183.8,187.87
6209.25,176.04,7.35,163.01,167.34,171.66,176.37,181,185.1,189.09
6391.875,176.69,7.09,164.16,168.43,172.68,177.32,181.88,185.92,189.84
6574.5,176.27,5.69,164.67,168.89,173.09,177.67,182.17,186.16,190.03
