Age,Average,StDv,P3,P10,P25,P50,P75,P90,P97
0,49.28,1.73,46.21,47.22,48.23,49.35,50.44,51.42,52.38
91.25,59.24,2.63,55.14,56.33,57.53,58.83,60.12,61.27,62.38
182.5,65.94,2.38,61.58,62.9,64.22,65.67,67.1,68.37,69.61
273.75,70.59,2.64,66.24,67.67,69.1,70.67,72.21,73.59,74.93
365,74.38,2.81,69.82,71.34,72.86,74.53,76.19,77.67,79.11
456.25,77.5,2.49,72.86,74.46,76.07,77.85,79.62,81.2,82.74
547.5,81.18,3.06,75.71,77.39,79.1,80.98,82.85,84.53,86.18
638.75,83.8,3.48,78.45,80.21,82,83.98,85.95,87.73,89.48
730,86.36,3.14,80.44,82.3,84.18,86.26,88.35,90.23,92.08
913.125,91.73,3.68,85.09,87.05,89.05,91.28,93.52,95.55,97.55
1095.75,95.81,3.1,89.35,91.4,93.51,95.86,98.24,100.41,102.56
1278.375,98.5,4.12,93.03,95.19,97.4,99.89,102.42,104.71,107.01
1461,103.93,3.65,96.28,98.55,100.89,103.51,106.18,108.61,111.05
1643.625,106.05,4.93,99.24,101.62,104.08,106.85,109.66,112.23,114.8
1826.25,109.97,4.4,102.01,104.51,107.08,109.99,112.95,115.65,118.36
2008.875,113.47,4.14,104.67,107.29,109.99,113.03,116.13,118.97,121.81
2191.5,116.99,4.56,107.3,110.03,112.84,116.02,119.26,122.23,125.2
2374.125,119.73,5.02,109.95,112.78,115.7,119.01,122.38,125.47,128.58
2556.75,122.69,4.2,112.63,115.57,118.59,122.02,125.52,128.73,131.96
2739.375,124.61,5.91,115.38,118.4,121.53,125.07,128.7,132.02,135.37
2922,129.21,5.65,118.19,121.3,124.51,128.16,131.9,135.33,138.79
3104.625,130.79,5.68,121.07,124.24,127.54,131.28,135.12,138.66,142.23
3287.25,134.71,6.14,123.98,127.22,130.58,134.42,138.35,141.98,145.65
3469.875,136.82,5.1,126.91,130.21,133.63,137.54,141.55,145.27,149.03
3652.5,138.73,6.06,129.83,133.17,136.64,140.61,144.71,148.5,152.34
3835.125,144.45,6.12,132.71,136.08,139.59,143.61,147.77,151.62,155.54
4017.75,146.13,6.2,135.5,138.89,142.43,146.49,150.7,154.61,158.6
4200.375,149.97,6.58,138.16,141.57,145.13,149.23,153.47,157.43,161.47
4383,152.25,7.02,140.66,144.08,147.65,151.77,156.04,160.04,164.12
4565.625,153.4,7.2,142.97,146.38,149.96,154.09,158.38,162.4,166.52
4748.25,156.74,6.25,145.05,148.45,152.02,156.15,160.46,164.5,168.64
4930.875,159.13,6.64,146.87,150.26,153.82,157.95,162.25,166.3,170.45
5113.5,161.03,6.25,148.41,151.79,155.34,159.45,163.75,167.79,171.95
5296.125,162.35,5.97,149.68,153.03,156.56,160.65,164.94,168.97,173.13
5478.75,161,6.15,150.66,153.99,157.5,161.57,165.84,169.86,174
5661.375,162.28,5.6,151.37,154.67,158.16,162.21,166.46,170.46,174.59
5844,161.88,6.28,151.83,155.12,158.59,162.62,166.84,170.82,174.93
6026.625,162.14,6.26,152.1,155.37,158.82,162.83,167.03,171,175.09
6209.25,162.56,5.67,152.23,155.49,158.93,162.92,167.11,171.05,175.12
6391.875,163.04,5.78,152.3,155.55,158.98,162.97,167.14,171.08,175.14
6574.5,163.83,6.17,152.42,155.67,159.1,163.09,167.26,171.2,175.26
