Age,Average,StDv,P3,P10,P25,P50,P75,P90,P97
0,3.24,0.36,2.65,2.81,2.99,3.21,3.45,3.68,3.93
91.25,6.23,0.78,4.95,5.25,5.58,5.98,6.41,6.85,7.31
182.5,7.94,0.92,6.54,6.94,7.37,7.89,8.47,9.05,9.67
273.75,9.33,1.11,7.69,8.15,8.65,9.27,9.96,10.65,11.4
365,10.3,1.13,8.55,9.06,9.63,10.32,11.1,11.88,12.74
456.25,11.15,1.2,9.24,9.79,10.41,11.17,12.02,12.87,13.82
547.5,12.12,1.35,9.8,10.39,11.05,11.86,12.78,13.71,14.73
638.75,12.61,1.01,10.27,10.89,11.59,12.45,13.42,14.4,15.5
730,12.95,1.28,10.76,11.4,12.12,13.02,14.05,15.11,16.33
913.125,14.02,1.5,11.44,12.14,12.93,13.92,15.04,16.2,17.51
1095.75,14.99,1.56,12.15,12.92,13.79,14.89,16.13,17.4,18.8
1278.375,16.34,2.83,12.97,13.81,14.77,15.97,17.35,18.75,20.32
1461,18.04,2.57,13.85,14.77,15.82,17.15,18.67,20.25,22.03
1643.625,18.69,2.03,14.77,15.77,16.92,18.38,20.08,21.86,23.91
1826.25,19.87,3.22,15.71,16.8,18.05,19.66,21.56,23.57,25.94
2008.875,21.5,3.75,16.66,17.84,19.21,20.98,23.09,25.37,28.09
2191.5,22.34,3.61,17.61,18.89,20.38,22.34,24.69,27.26,30.37
2374.125,23.83,3.71,18.55,19.94,21.58,23.72,26.33,29.22,32.75
2556.75,25.69,3.21,19.5,21.01,22.79,25.15,28.04,31.26,35.24
2739.375,27.27,4.69,20.45,22.09,24.04,26.63,29.82,33.39,37.83
2922,28.28,5.2,21.42,23.2,25.33,28.16,31.67,35.61,40.52
3104.625,30.97,5.69,22.41,24.36,26.67,29.76,33.6,37.93,43.32
3287.25,33.52,6.63,23.45,25.56,28.08,31.45,35.63,40.34,46.21
3469.875,36.39,7.05,24.54,26.83,29.56,33.23,37.76,42.86,49.2
3652.5,36.05,7.32,25.7,28.18,31.14,35.11,40.01,45.49,52.28
3835.125,38.85,9.31,26.94,29.63,32.83,37.1,42.36,48.23,55.45
4017.75,39.58,7.75,28.28,31.18,34.62,39.21,44.84,51.07,58.69
4200.375,41.61,7.62,29.72,32.84,36.54,41.44,47.43,54.02,62
4383,44.54,9.39,31.27,34.62,38.57,43.79,50.12,57.04,65.36
4565.625,46.87,7.96,32.94,36.51,40.72,46.25,52.91,60.13,68.74
4748.25,49.32,9.63,34.73,38.53,42.98,48.8,55.77,63.26,72.11
4930.875,53.27,10.55,36.63,40.65,45.34,51.43,58.67,66.4,75.44
5113.5,55.96,10.37,38.63,42.86,47.77,54.11,61.59,69.51,78.67
5296.125,57.95,12.11,40.72,45.14,50.24,56.79,64.47,72.52,81.77
5478.75,59.71,11.65,42.88,47.45,52.72,59.44,67.25,75.4,84.66
5661.375,65.36,10.57,45.07,49.77,55.15,61.99,69.89,78.05,87.26
5844,64.98,11.82,47.25,52.03,57.49,64.38,72.28,80.4,89.5
6026.625,68.27,11.83,49.39,54.19,59.65,66.52,74.35,82.36,91.28
6209.25,70.76,11.3,51.41,56.18,61.57,68.32,76,83.81,92.49
6391.875,69.25,10.1,53.26,57.91,63.14,69.68,77.09,84.63,93.01
6574.5,71.26,9.88,54.85,59.28,64.26,70.47,77.51,84.68,92.7
