Age,Average,StDv,P3,P10,P25,P50,P75,P90,P97
0,3.13,0.41,2.52,2.68,2.86,3.08,3.33,3.58,3.85
91.25,5.7,0.72,4.59,4.88,5.2,5.59,6.04,6.49,6.98
182.5,7.42,0.82,6.06,6.44,6.87,7.39,7.97,8.56,9.21
273.75,8.83,1.12,7.13,7.58,8.07,8.69,9.37,10.07,10.83
365,9.74,1.15,7.93,8.43,8.98,9.67,10.44,11.22,12.07
456.25,10.38,1.07,8.57,9.12,9.72,10.47,11.31,12.16,13.1
547.5,11.3,1.33,9.14,9.72,10.37,11.18,12.08,13,14.01
638.75,11.9,1.49,9.66,10.28,10.98,11.84,12.8,13.78,14.86
730,12.55,1.38,10.04,10.71,11.42,12.34,13.36,14.41,15.57
913.125,13.75,1.66,10.97,11.71,12.53,13.55,14.7,15.87,17.16
1095.75,14.91,1.44,11.88,12.69,13.6,14.72,15.98,17.26,18.68
1278.375,15.36,2.07,12.72,13.6,14.58,15.81,17.19,18.6,20.16
1461,17.15,1.97,13.5,14.45,15.53,16.87,18.38,19.93,21.66
1643.625,18.01,2.84,14.26,15.3,16.47,17.93,19.61,21.33,23.26
1826.25,19.57,2.84,15.02,16.15,17.43,19.05,20.91,22.83,25
2008.875,20.49,2.63,15.8,17.04,18.45,20.24,22.31,24.46,26.9
2191.5,21.66,3.49,16.62,17.98,19.54,21.52,23.83,26.24,29
2374.125,23.87,3.86,17.5,18.99,20.71,22.91,25.48,28.18,31.29
2556.75,24.94,3.86,18.44,20.08,21.98,24.41,27.27,30.28,33.76
2739.375,26.67,5.18,19.45,21.26,23.35,26.03,29.19,32.53,36.4
2922,29.36,5.57,20.55,22.52,24.81,27.76,31.24,34.92,39.19
3104.625,29.71,5.02,21.73,23.88,26.37,29.59,33.39,37.42,42.1
3287.25,32.73,6.03,23,25.33,28.03,31.51,35.63,40,45.08
3469.875,32.86,5.73,24.36,26.85,29.76,33.51,37.94,42.64,48.1
3652.5,36.11,6.26,25.79,28.46,31.55,35.56,40.28,45.3,51.12
3835.125,38.93,7.62,27.29,30.12,33.4,37.64,42.64,47.94,54.09
4017.75,41.29,8.04,28.86,31.83,35.28,39.73,44.97,50.53,56.97
4200.375,42.32,7.52,30.47,33.57,37.17,41.8,47.26,53.03,59.71
4383,44,7.31,32.12,35.33,39.05,43.84,49.47,55.41,62.28
4565.625,44.99,8.88,33.77,37.08,40.9,45.8,51.56,57.63,64.63
4748.25,49.21,8.45,35.42,38.79,42.68,47.68,53.52,59.67,66.75
4930.875,52.13,8.08,37.03,40.45,44.39,49.43,55.32,61.5,68.6
5113.5,52.32,7.96,38.59,42.03,45.99,51.04,56.93,63.1,70.17
5296.125,54.14,8.59,40.05,43.5,47.45,52.49,58.34,64.46,71.46
5478.75,55.29,9.42,41.39,44.82,48.76,53.75,59.54,65.58,72.47
5661.375,54.69,7.33,42.57,45.98,49.87,54.81,60.52,66.46,73.22
5844,57.84,8.96,43.55,46.94,50.79,55.66,61.28,67.11,73.75
6026.625,56.62,6.7,44.3,47.65,51.46,56.28,61.82,67.57,74.09
6209.25,56.35,8.47,44.77,48.11,51.89,56.67,62.17,67.86,74.31
6391.875,58.16,8.3,44.91,48.25,52.04,56.83,62.34,68.04,74.5
6574.5,57.57,7.4,44.68,48.06,51.91,56.77,62.36,68.17,74.75
